date,code,name,quantity,avg_cost,current_price,market_value,pnl_pct,weight_pct,strategy
2026-08-11,000975,山金国际,8300,18.04,25.96,215468.0,43.9,19.8,deep_value
2026-08-11,002027,分众传媒,31100,4.82,5.31,165141.0,10.17,15.17,deep_value
2026-08-11,002558,巨人网络,5200,25.7,28.7,149240.0,11.65,13.71,deep_value
